cluster_id,cluster,mode,crop,water_regime,inherited_input_label,v30_status,activity_upper,yield_2020,inherited_yield_2021,v30_yield_2021,inherited_yield_2025,v30_yield_2025,v30_yield_2050,after_2020_rule
TEC_3mwof,LNDAGRPHLC03,11,rice_rain,rainfed,high,active_observed_cost_system,99999,0.5422325988071496,0.5565965307647252,0.5481106925315024,0.5653729733612202,0.571623067428913,0.6830827566420051,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,12,vegetables,rainfed,low,inactive_unsupported_pair,1e-06,0.3480843400277211,0.3480843400277211,0.3480843400277211,0.3515651834279983,0.3515651834279983,0.45085843956216765,inactive
TEC_3mwof,LNDAGRPHLC03,13,vegetables,irrigated,low,inactive_unsupported_pair,1e-06,0.3528526186582378,0.3528526186582378,0.3528526186582378,0.3563811448448202,0.3563811448448202,0.45703458256986856,inactive
TEC_3mwof,LNDAGRPHLC03,14,rice_rain,rainfed,low,inactive_unsupported_pair,1e-06,0.1355581497017874,0.1391491326911813,0.1391491326911813,0.14134324334030504,0.14134324334030504,0.18126309753911374,inactive
TEC_3mwof,LNDAGRPHLC03,15,maize,rainfed,low,inactive_unsupported_pair,1e-06,0.17540458011814375,0.1782840541947778,0.1782840541947778,0.18462009873928334,0.18462009873928334,0.23676272154649786,inactive
TEC_3mwof,LNDAGRPHLC03,16,coconut,irrigated,high,active_observed_cost_system,99999,0.7530387056739289,0.7657203166396315,0.7593074421561395,0.7443282707196185,0.7843823880849824,0.90043484198631,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,17,rice_irrig,irrigated,low,inactive_unsupported_pair,1e-06,0.2979330659172684,0.30113595602118176,0.30113595602118176,0.29776399668794806,0.29776399668794806,0.3818620763168303,inactive
TEC_3mwof,LNDAGRPHLC03,18,sugarcane,rainfed,low,inactive_unsupported_pair,1e-06,2.9511804370510695,3.0184734372386437,3.0184734372386437,2.2509559046351293,2.2509559046351293,2.8866978714770517,inactive
TEC_3mwof,LNDAGRPHLC03,19,rice_irrig,irrigated,high,active_observed_cost_system,99999,1.22010684137548,1.2332234389438872,1.233790491378318,1.2194144626268348,1.2885250913896693,1.5542392337917128,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,20,coconut,rainfed,low,inactive_unsupported_pair,1e-06,0.21754451497246835,0.22120809147367132,0.22120809147367132,0.2150281670967787,0.2150281670967787,0.27575900131482106,inactive
TEC_3mwof,LNDAGRPHLC03,21,other,irrigated,low,inactive_unsupported_pair,1e-06,0.5062141200524497,0.5062141200524497,0.5062141200524497,0.5112762612529742,0.5112762612529742,0.6556770357236043,inactive
TEC_3mwof,LNDAGRPHLC03,22,other,irrigated,high,active_observed_cost_system,99999,1.1209026944018528,1.1209026944018528,1.1320778192463623,1.1321117213458713,1.1767783186244005,1.3609125080361657,FAO_BAU_2050_rebased_to_2020
TEC_3mwof,LNDAGRPHLC03,23,other,rainfed,low,inactive_unsupported_pair,1e-06,0.5062141200524497,0.5062141200524497,0.5062141200524497,0.5112762612529742,0.5112762612529742,0.6556770357236043,inactive
TEC_3mwof,LNDAGRPHLC03,24,other,rainfed,high,active_observed_cost_system,99999,1.1209026944018528,1.1209026944018528,1.1320778192463623,1.1321117213458713,1.1767783186244005,1.3609125080361657,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,1,vegetables,rainfed,high,active_observed_cost_system,99999,1.3351180165446839,1.3351180165446839,1.3487328800059895,1.3484691967101308,1.4031923338512113,1.6932200315919568,FAO_BAU_2050_rebased_to_2020
TEC_ckkki,LNDAGRPHLC04,2,coconut,irrigated,low,inactive_unsupported_pair,1e-06,0.1171393542159445,0.11911204925505378,0.11911204925505378,0.11578439766749622,0.11578439766749622,0.14848561609259595,inactive
TEC_ckkki,LNDAGRPHLC04,3,sugarcane,rainfed,high,active_observed_cost_system,99999,10.71169195670388,10.95594062405137,10.794430982462364,8.170136246453431,11.125387085496284,12.386854446824394,FAO_BAU_2050_rebased_to_2020
