REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,LNDAGRPHLC01,LFORTOT,27,2053,S2D1,36.548335
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2020,S2D2,55.452045
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2020,S2D1,55.452045
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2020,S1D2,55.452045
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2020,S1D1,55.452045
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2020,S2D2,22.180818
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2020,S2D1,22.180818
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2020,S1D2,22.180818
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2020,S1D1,22.180818
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2021,S2D2,56.2727275
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2021,S2D1,56.2727275
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2021,S1D2,56.2727275
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2021,S1D1,56.2727275
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2021,S2D2,22.509091
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2021,S2D1,22.509091
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2021,S1D2,22.509091
GLOBAL,LNDAGRPHLC02,LSGCHRTOT,3,2021,S1D1,22.509091
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2022,S2D2,57.093410000000006
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2022,S2D1,57.093410000000006
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2022,S1D2,57.093410000000006
GLOBAL,LNDAGRPHLC02,WTRPRCPHL,3,2022,S1D1,57.093410000000006
