REGION,TECHNOLOGY,MODE_OF_OPERATION,YEAR,VALUE
GLOBAL,DEMAGRSURPHL,1,2048,1.9264587
GLOBAL,DEMAGRSURPHL,1,2049,1.902372
GLOBAL,MINPRCPHL,1,2020,724.96558
GLOBAL,MINPRCPHL,1,2021,724.96558
GLOBAL,MINPRCPHL,1,2022,724.96558
GLOBAL,MINPRCPHL,1,2023,724.96558
GLOBAL,MINPRCPHL,1,2024,724.96558
GLOBAL,MINPRCPHL,1,2025,724.96558
GLOBAL,MINPRCPHL,1,2026,724.96558
GLOBAL,MINPRCPHL,1,2027,724.96558
GLOBAL,MINPRCPHL,1,2028,724.96558
GLOBAL,MINPRCPHL,1,2029,724.96558
GLOBAL,MINPRCPHL,1,2030,724.96558
GLOBAL,MINPRCPHL,1,2031,724.96558
GLOBAL,MINPRCPHL,1,2032,724.96558
GLOBAL,MINPRCPHL,1,2033,724.96558
GLOBAL,MINPRCPHL,1,2034,724.96558
GLOBAL,MINPRCPHL,1,2035,724.96558
GLOBAL,MINPRCPHL,1,2036,724.96558
GLOBAL,MINPRCPHL,1,2037,724.96558
GLOBAL,MINPRCPHL,1,2038,724.96558
GLOBAL,MINPRCPHL,1,2039,724.96558
GLOBAL,MINPRCPHL,1,2040,724.96558
GLOBAL,MINPRCPHL,1,2041,724.96558
GLOBAL,MINPRCPHL,1,2042,724.96558
GLOBAL,MINPRCPHL,1,2043,724.96558
GLOBAL,MINPRCPHL,1,2044,724.96558
GLOBAL,MINPRCPHL,1,2045,724.96558
GLOBAL,MINPRCPHL,1,2046,724.96558
GLOBAL,MINPRCPHL,1,2047,724.96558
GLOBAL,MINPRCPHL,1,2048,724.96558
GLOBAL,MINPRCPHL,1,2049,724.96558
GLOBAL,MINPRCPHL,1,2050,724.96558
GLOBAL,MINPRCPHL,1,2051,724.96558
GLOBAL,MINPRCPHL,1,2052,724.96558
GLOBAL,MINPRCPHL,1,2053,724.96558
GLOBAL,LNDTOMHRTOT,1,2020,12.218378
GLOBAL,LNDTOMHRTOT,1,2021,12.3992
GLOBAL,LNDTOMHRTOT,1,2022,12.580022
GLOBAL,LNDTOMHRTOT,1,2023,12.760844
GLOBAL,LNDTOMHRTOT,1,2024,12.941689
GLOBAL,LNDTOMHRTOT,1,2025,13.122511
GLOBAL,LNDTOMHRTOT,1,2026,13.290289
GLOBAL,LNDTOMHRTOT,1,2027,13.458089
GLOBAL,LNDTOMHRTOT,1,2028,13.625867
GLOBAL,LNDTOMHRTOT,1,2029,13.793644
GLOBAL,LNDTOMHRTOT,1,2030,13.961422
GLOBAL,LNDTOMHRTOT,1,2031,14.1166
GLOBAL,LNDTOMHRTOT,1,2032,14.271756
GLOBAL,LNDTOMHRTOT,1,2033,14.426911
GLOBAL,LNDTOMHRTOT,1,2034,14.582067
GLOBAL,LNDTOMHRTOT,1,2035,14.737222
GLOBAL,LNDTOMHRTOT,1,2036,14.877489
GLOBAL,LNDTOMHRTOT,1,2037,15.017733
GLOBAL,LNDTOMHRTOT,1,2038,15.157978
GLOBAL,LNDTOMHRTOT,1,2039,15.298222
GLOBAL,LNDTOMHRTOT,1,2040,15.438467
GLOBAL,LNDTOMHRTOT,1,2041,15.563222
GLOBAL,LNDTOMHRTOT,1,2042,15.687956
GLOBAL,LNDTOMHRTOT,1,2043,15.812711
GLOBAL,LNDTOMHRTOT,1,2044,15.937444
GLOBAL,LNDTOMHRTOT,1,2045,16.0622
GLOBAL,LNDTOMHRTOT,1,2046,16.169622
GLOBAL,LNDTOMHRTOT,1,2047,16.277044
GLOBAL,LNDTOMHRTOT,1,2048,16.384444
GLOBAL,LNDTOMHRTOT,1,2049,16.491867
GLOBAL,LNDTOMHRTOT,1,2050,16.599289
GLOBAL,LNDTOMHRTOT,1,2051,16.599289
GLOBAL,LNDTOMHRTOT,1,2052,16.599289
GLOBAL,LNDTOMHRTOT,1,2053,16.599289
GLOBAL,LNDSGCHRTOT,1,2020,22.180818
