run,region,year,mode,account,commodity,unit,reference_available,terminal_counted,unaccounted_gap,coverage_percent,status
Base_v12,RE1,2040,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,257.11880000000036,0.0,257.11880000000036,0.0,ZERO
Base_v12,RE1,2041,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,378.42869999999976,0.0,378.42869999999976,0.0,ZERO
Base_v12,RE1,2041,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.959900000000005,0.0,20.959900000000005,0.0,ZERO
Base_v12,RE1,2041,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,255.2906000000001,0.0,255.2906000000001,0.0,ZERO
Base_v12,RE1,2042,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,377.4187999999998,0.0,377.4187999999998,0.0,ZERO
Base_v12,RE1,2042,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,20.98810000000001,0.0,20.98810000000001,0.0,ZERO
Base_v12,RE1,2042,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,253.24690000000038,0.0,253.24690000000038,0.0,ZERO
Base_v12,RE1,2043,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,376.4083000000003,0.0,376.4083000000003,0.0,ZERO
Base_v12,RE1,2043,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,21.01759999999999,0.0,21.01759999999999,0.0,ZERO
Base_v12,RE1,2043,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,251.16980000000024,0.0,251.16980000000024,0.0,ZERO
Base_v12,RE1,2044,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,375.4394999999999,0.0,375.4394999999999,0.0,ZERO
Base_v12,RE1,2044,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,21.041299999999982,0.0,21.041299999999982,0.0,ZERO
Base_v12,RE1,2044,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,249.05239999999998,0.0,249.05239999999998,0.0,ZERO
Base_v12,RE1,2045,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,374.46449999999976,0.0,374.46449999999976,0.0,ZERO
Base_v12,RE1,2045,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,21.063999999999993,0.0,21.063999999999993,0.0,ZERO
Base_v12,RE1,2045,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,248.29530000000005,0.0,248.29530000000005,0.0,ZERO
Base_v12,RE1,2046,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,373.6300999999997,0.0,373.6300999999997,0.0,ZERO
Base_v12,RE1,2046,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,16.508500000000023,0.0,16.508500000000023,0.0,ZERO
Base_v12,RE1,2046,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,250.5226000000007,0.0,250.5226000000007,0.0,ZERO
Base_v12,RE1,2047,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,372.8283999999998,0.0,372.8283999999998,0.0,ZERO
Base_v12,RE1,2047,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,9.151199999999974,0.0,9.151199999999974,0.0,ZERO
Base_v12,RE1,2047,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,255.47540000000004,0.0,255.47540000000004,0.0,ZERO
Base_v12,RE1,2048,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,372.06580000000014,0.0,372.06580000000014,0.0,ZERO
Base_v12,RE1,2048,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,21.1253,0.0,21.1253,0.0,ZERO
Base_v12,RE1,2048,3,modeled_raw_surface_water_remaining,PHL_WTR_SUR,10<sup>9</sup>m<sup>3</sup>,240.51150000000013,0.0,240.51150000000013,0.0,ZERO
Base_v12,RE1,2049,1,water_vapor_returned,PHL_WTR_EVT,10<sup>9</sup>m<sup>3</sup>,371.30140000000017,0.0,371.30140000000017,0.0,ZERO
Base_v12,RE1,2049,2,modeled_raw_groundwater_remaining,PHL_WTR_GWT,10<sup>9</sup>m<sup>3</sup>,21.1436,0.0,21.1436,0.0,ZERO
