run,region,year,technology,mode,account,value,unit
Base_v12,RE1,2027,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2028,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2029,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2030,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2031,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2032,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2033,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2034,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2035,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2036,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2037,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2038,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2039,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2040,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2041,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2042,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2043,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2044,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2045,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2046,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2047,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2048,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2049,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2050,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2051,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2052,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2053,ENV_LAND,6,inland_water_bodies,1.5984,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2020,ENV_LAND,7,cropland,113.6631,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2021,ENV_LAND,7,cropland,115.3953,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2022,ENV_LAND,7,cropland,117.1275,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2023,ENV_LAND,7,cropland,118.8597,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2024,ENV_LAND,7,cropland,120.592,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2025,ENV_LAND,7,cropland,122.341,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2026,ENV_LAND,7,cropland,123.9762,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2027,ENV_LAND,7,cropland,125.6114,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2028,ENV_LAND,7,cropland,127.2466,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2029,ENV_LAND,7,cropland,128.8868,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2030,ENV_LAND,7,cropland,130.5271,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2031,ENV_LAND,7,cropland,132.0439,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2032,ENV_LAND,7,cropland,133.5607,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2033,ENV_LAND,7,cropland,135.0775,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2034,ENV_LAND,7,cropland,136.5944,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2035,ENV_LAND,7,cropland,138.3185,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2036,ENV_LAND,7,cropland,139.6854,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2037,ENV_LAND,7,cropland,141.0522,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2038,ENV_LAND,7,cropland,142.419,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2039,ENV_LAND,7,cropland,143.7858,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2040,ENV_LAND,7,cropland,145.1527,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2041,ENV_LAND,7,cropland,146.3684,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2042,ENV_LAND,7,cropland,147.5842,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2043,ENV_LAND,7,cropland,148.7999,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2044,ENV_LAND,7,cropland,150.0194,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2045,ENV_LAND,7,cropland,151.2389,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2046,ENV_LAND,7,cropland,152.289,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2047,ENV_LAND,7,cropland,153.3468,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2048,ENV_LAND,7,cropland,154.4133,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2049,ENV_LAND,7,cropland,155.4799,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2050,ENV_LAND,7,cropland,156.6094,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2051,ENV_LAND,7,cropland,156.6094,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2052,ENV_LAND,7,cropland,156.6094,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2053,ENV_LAND,7,cropland,156.6094,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2020,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2021,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2022,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
Base_v12,RE1,2023,ENV_LAND,8,unallocated_modeled_land,0.0,10<sup>3</sup>km<sup>2</sup>
