cache_filename,model_crop_code,gaez_crop,model_variable,gaez_name,input_level,water_supply,available_water_content,climate_model,pathway,time_period,source_unit,download_url,file_identifier,selection_table,selection_table_csv_line
MZE yld Irrigation Low.tif,MZE,Maize,yld,maiz200a_yld,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/maiz200a_yld.tif,281179,GAEZ_yld_Low_Input.csv,76
MZE yld Rain-fed High.tif,MZE,Maize,yld,maiz200b_yld,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/maiz200b_yld.tif,327719,GAEZ_yld_High_Input.csv,385
MZE yld Rain-fed Low.tif,MZE,Maize,yld,maiz200b_yld,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,kg DW/ha,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/maiz200b_yld.tif,280487,GAEZ_yld_Low_Input.csv,77
RCP cwd Irrigation High.tif,RCP,Wetland rice,cwd,ricw200a_wde,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200a_wde.tif,326308,GAEZ_cwd_High_Input.csv,414
RCP cwd Irrigation Low.tif,RCP,Wetland rice,cwd,ricw200a_wde,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200a_wde.tif,279076,GAEZ_cwd_Low_Input.csv,102
RCP cwd Rain-fed High.tif,RCP,Wetland rice,cwd,ricw200b_wde,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200b_wde.tif,330010,GAEZ_cwd_High_Input.csv,415
RCP cwd Rain-fed Low.tif,RCP,Wetland rice,cwd,ricw200b_wde,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200b_wde.tif,282778,GAEZ_cwd_Low_Input.csv,103
RCP evt Irrigation High.tif,RCP,Wetland rice,evt,ricw200a_eta,High,Irrigation,Available water content of 200 mm/m (under irrigation conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200a_eta.tif,326085,GAEZ_evt_High_Input.csv,414
RCP evt Irrigation Low.tif,RCP,Wetland rice,evt,ricw200a_eta,Low,Irrigation,Available water content of 200 mm/m (under irrigation conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200a_eta.tif,278853,GAEZ_evt_Low_Input.csv,102
RCP evt Rain-fed High.tif,RCP,Wetland rice,evt,ricw200b_eta,High,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),HadGEM2-ES,RCP4.5,2011-2040,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/HadGEM2-ES/rcp4p5/2020sH/ricw200b_eta.tif,326760,GAEZ_evt_High_Input.csv,415
RCP evt Rain-fed Low.tif,RCP,Wetland rice,evt,ricw200b_eta,Low,Rain-fed,Available water content of 200 mm/m (under rain-fed conditions),CRUTS32,Historical,1981-2010,mm,https://s3.eu-west-1.amazonaws.com/data.gaezdev.aws.fao.org/res02/CRUTS32/Hist/8110L/ricw200b_eta.tif,279528,GAEZ_evt_Low_Input.csv,103
